ID,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8.03814E+17,Mads Mansion - Room 5,493882819,Terra,,NINTH WARD,42.656329,-73.775205,Private room,132,1,6,,0,6,18,0,
8.03868E+17,Mads Mansion - Room 1,493882819,Terra,,NINTH WARD,42.656329,-73.775205,Private room,128,1,9,,0,6,205,0,
8.09525E+17,Two bedroom apartment near hospitals pet friendly,172658781,Jessica,,NINTH WARD,42.65613972,-73.79212238,Entire home/apt,86,30,1,,1,2,56,0,
8.1364E+17,The front room w/ TV and king size bed,116935236,Felicisimo,,THIRTEENTH WARD,42.67144,-73.79033,Private room,45,7,17,,1,5,47,0,
8.16085E+17,Cozy Apartment across the Park,37769478,Erion,,SIXTH WARD,42.65258,-73.76917,Entire home/apt,92,1,40,,1,11,86,0,
8.21566E+17,COMFY Room/w Private BATH + TV,177073982,Cristian,,FOURTEENTH WARD,42.66109,-73.80479,Private room,52,2,3,,0,2,78,0,
8.23276E+17,Cozy Home 5 Minute Walk to Albany Medical Center,500360485,Manjano,,SIXTH WARD,42.65184,-73.77074,Entire home/apt,,7,0,,0,1,309,0,
8.26302E+17,2 br apt 2 min walk to albanymed offstreet parking,484673863,Michaela,,NINTH WARD,42.65613,-73.77469,Entire home/apt,91,1,32,,1,3,65,0,
8.31123E+17,Boho-Chic Cape Conveniently Located,210596861,Craig,,FIFTEENTH WARD,42.67076,-73.82612,Entire home/apt,246,2,103,,4,1,349,0,
8.41524E+17,Mellow Cove,462042479,Natasha,,SIXTH WARD,42.66008,-73.76977,Entire home/apt,137,3,6,,0,2,199,0,
8.41524E+17,Cozy Cove Away From Home,462042479,Natasha,,SIXTH WARD,42.65987,-73.77025,Entire home/apt,120,3,12,,1,2,93,0,
8.43481E+17,Center Square Serenity: 2-Bedroom Elegance,188679144,Elizabeth,,SIXTH WARD,42.65483,-73.76353,Entire home/apt,122,1,2,,0,8,179,0,
8.4596E+17,Modern Cottage-Perfect for Families!,268741708,Antoinette,,FIRST WARD,42.63504,-73.79833,Entire home/apt,320,2,116,,4,1,219,0,
8.46586E+17,Spacious Home Away from Home!,49372011,Philip,,TWELFTH WARD,42.67336,-73.78619,Entire home/apt,221,3,19,,1,1,81,0,
8.4946E+17,Your luxury home away from home,1761578,Grant,,SIXTH WARD,42.65432,-73.76531,Entire home/apt,270,2,2,,0,3,360,0,
8.50173E+17,Stunning Guest Suite in Historic 1874 Row House,120815848,Phat,,SECOND WARD,42.6446,-73.75885,Private room,86,1,174,,7,1,163,0,
8.50654E+17,"Plum room, private queen near hospitals, UAlbany",20536619,Emily,,THIRTEENTH WARD,42.67177,-73.79464,Private room,61,4,16,,1,8,172,0,
8.57982E+17,Updated Historic Brownstone Apt.,60293220,David,,THIRD WARD,42.65817,-73.74935,Entire home/apt,89,2,22,,1,3,252,0,
